k,retriever,db_id,question,ground_truth_sql,generated_sql,exact_match,syntax_valid,execution_status,execution_match,latency_sec,input_tokens,output_tokens,total_tokens
0,zero-shot,cordis_temporary,Find the total cost of the project Theseus,SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',SELECT SUM(total_cost) FROM projects WHERE acronym = 'Theseus';,False,True,Match,True,19.02612543106079,1488,200,1688
0,zero-shot,cordis_temporary,Show total cost of project with title Theseus,SELECT T1.total_cost FROM projects AS T1 WHERE T1.title = 'Theseus',SELECT SUM(total_cost) FROM projects WHERE title = 'Theseus';,False,True,Match,True,18.884592294692993,1488,200,1688
0,zero-shot,cordis_temporary,Show me the acronyms of projects that started in 2018,SELECT acronym FROM projects WHERE start_year = 2018,SELECT acronym FROM projects WHERE start_year = 2018;,True,True,Match,True,19.084568738937378,1496,200,1696
0,zero-shot,cordis_temporary,Get acronyms of projects beginning in 2018,SELECT acronym FROM projects WHERE start_year = 2018,SELECT acronym FROM projects WHERE start_year = 2018;,True,True,Match,True,22.173802614212036,1493,200,1693
0,zero-shot,cordis_temporary,Show me the titles of projects that started before 2016,SELECT title FROM projects WHERE start_year < 2016,SELECT title FROM projects WHERE start_year < 2016;,True,True,Match,True,19.651127576828003,1493,200,1693
0,zero-shot,cordis_temporary,Find titles of projects which started earlier than 2016,SELECT title FROM projects WHERE start_year < 2016,SELECT title FROM projects WHERE start_year < 2016;,True,True,Match,True,19.55681347846985,1492,200,1692
0,zero-shot,cordis_temporary,Find institutions from the region of Nordjylland,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',SELECT * FROM institutions WHERE geocode_regions_3 = 'DK-DK-00010';,False,True,Shape Mismatch,False,19.43056082725525,1489,200,1689
0,zero-shot,cordis_temporary,Show the name of institutions based in Nordjylland,SELECT T1.institutions_name FROM institutions AS T1 JOIN eu_territorial_units AS T2 ON T1.geocode_regions_3 = T2.geocode_regions WHERE T2.description = 'Nordjylland',SELECT institutions.institutions_name FROM institutions WHERE geocode_regions_3 = 'DK-DKN';,False,True,Shape Mismatch,False,19.676496505737305,1490,200,1690
0,zero-shot,cordis_temporary,Find the name of principal investigators in projects that started in 2014,SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,"SELECT p.principal_investigator, p.title
FROM projects p
JOIN people pi ON p.principal_investigator = pi.unics_id
WHERE p.start_year = 2014;",False,True,Shape Mismatch,False,19.312045097351074,1496,200,1696
0,zero-shot,cordis_temporary,Show the full name of people being investigators in projects that began in 2014,SELECT T2.full_name FROM projects AS T1 join people as T2 on T1.principal_investigator = T2.unics_id WHERE T1.start_year = 2014,"SELECT people.full_name
FROM people
JOIN project_members ON people.unics_id = project_members.member_role
JOIN projects ON project_members.project = projects.unics_id
WHERE project_members.member_role = 'Investigator'
AND EXTRACT(YEAR FROM projects.start_date) = 2014;",False,True,SQL Error: (psycopg2.errors.UndefinedFunction) operator does not exist: integer = text,False,19.478766679763794,1498,200,1698
